[2025-12-19 22:17:55] SUCCESS - Instructor ID: 3, Action: accept, Submission ID: 17, IP: ::1
[2025-12-19 22:17:57] SUCCESS - Instructor ID: 3, Action: reject, Submission ID: 17, IP: ::1
[2025-12-19 22:17:59] SUCCESS - Instructor ID: 3, Action: accept, Submission ID: 17, IP: ::1
[2025-12-19 22:18:03] SUCCESS - Instructor ID: 3, Action: add_feedback, Submission ID: 17, IP: ::1
[2025-12-19 22:18:09] SUCCESS - Instructor ID: 3, Action: delete, Submission ID: 17, IP: ::1
[2025-12-19 23:59:27] SUCCESS - Instructor ID: 3, Action: add_feedback, Submission ID: 16, IP: ::1
[2025-12-20 01:51:41] SUCCESS - Instructor ID: 3, Action: accept, Submission ID: 13, IP: ::1
[2025-12-20 12:25:12] SUCCESS - Instructor ID: 3, Action: accept, Submission ID: 18, IP: ::1
[2025-12-21 14:31:38] SUCCESS - Instructor ID: 7, Action: accept, Submission ID: 8, IP: ::1
[2025-12-21 15:07:56] SUCCESS - Instructor ID: 7, Action: view_report, Submission ID: 11, IP: ::1
[2025-12-21 15:08:20] SUCCESS - Instructor ID: 7, Action: accept, Submission ID: 11, IP: ::1
[2025-12-21 15:21:13] SUCCESS - Instructor ID: 7, Action: add_feedback, Submission ID: 11, IP: ::1
[2025-12-21 16:40:51] SUCCESS - Instructor ID: 7, Action: view_report, Submission ID: 16, IP: ::1
[2025-12-21 16:41:00] SUCCESS - Instructor ID: 7, Action: add_feedback, Submission ID: 16, IP: ::1
[2025-12-21 16:41:03] SUCCESS - Instructor ID: 7, Action: reject, Submission ID: 16, IP: ::1
[2025-12-21 16:43:04] SUCCESS - Instructor ID: 7, Action: add_feedback, Submission ID: 15, IP: ::1
[2025-12-21 17:05:21] SUCCESS - Instructor ID: 7, Action: accept, Submission ID: 18, IP: ::1
[2025-12-21 17:05:27] SUCCESS - Instructor ID: 7, Action: add_feedback, Submission ID: 18, IP: ::1
[2025-12-22 20:44:37] SUCCESS - Instructor ID: 2, Action: reject, Submission ID: 12, IP: ::1
[2025-12-22 20:44:40] SUCCESS - Instructor ID: 2, Action: accept, Submission ID: 12, IP: ::1
[2025-12-22 20:45:40] SUCCESS - Instructor ID: 2, Action: restore, Submission ID: 7, IP: ::1
[2025-12-22 20:45:49] SUCCESS - Instructor ID: 2, Action: delete, Submission ID: 12, IP: ::1
[2025-12-22 20:46:01] SUCCESS - Instructor ID: 2, Action: restore, Submission ID: 12, IP: ::1
[2025-12-22 20:46:08] SUCCESS - Instructor ID: 2, Action: accept, Submission ID: 10, IP: ::1
[2025-12-22 20:46:13] SUCCESS - Instructor ID: 2, Action: delete, Submission ID: 12, IP: ::1
[2025-12-22 20:50:31] SUCCESS - Instructor ID: 2, Action: restore, Submission ID: 12, IP: ::1
[2025-12-22 20:50:35] SUCCESS - Instructor ID: 2, Action: delete, Submission ID: 12, IP: ::1
[2025-12-22 20:50:50] SUCCESS - Instructor ID: 2, Action: restore, Submission ID: 12, IP: ::1
[2025-12-22 20:50:57] SUCCESS - Instructor ID: 2, Action: delete, Submission ID: 8, IP: ::1
[2025-12-22 20:51:02] SUCCESS - Instructor ID: 2, Action: restore, Submission ID: 8, IP: ::1
[2025-12-22 20:51:16] SUCCESS - Instructor ID: 2, Action: delete, Submission ID: 12, IP: ::1
[2025-12-22 20:52:11] SUCCESS - Instructor ID: 2, Action: restore, Submission ID: 12, IP: ::1
[2025-12-22 20:52:20] SUCCESS - Instructor ID: 2, Action: delete, Submission ID: 9, IP: ::1
[2025-12-22 20:52:49] SUCCESS - Instructor ID: 2, Action: restore, Submission ID: 9, IP: ::1
[2025-12-22 20:54:38] SUCCESS - Instructor ID: 2, Action: accept, Submission ID: 9, IP: ::1
[2025-12-22 21:09:26] SUCCESS - Instructor ID: 2, Action: delete, Submission ID: 12, IP: ::1
[2025-12-22 21:09:31] SUCCESS - Instructor ID: 2, Action: restore, Submission ID: 12, IP: ::1
[2025-12-22 21:09:39] SUCCESS - Instructor ID: 2, Action: delete, Submission ID: 12, IP: ::1
[2025-12-22 21:12:56] SUCCESS - Instructor ID: 2, Action: restore, Submission ID: 12, IP: ::1
[2025-12-22 21:13:01] SUCCESS - Instructor ID: 2, Action: delete, Submission ID: 12, IP: ::1
[2025-12-22 21:13:10] SUCCESS - Instructor ID: 2, Action: restore, Submission ID: 12, IP: ::1
[2025-12-22 21:13:14] SUCCESS - Instructor ID: 2, Action: accept, Submission ID: 12, IP: ::1
[2025-12-22 21:13:15] SUCCESS - Instructor ID: 2, Action: reject, Submission ID: 12, IP: ::1
[2025-12-22 21:20:45] SUCCESS - Instructor ID: 2, Action: accept, Submission ID: 10, IP: ::1
[2025-12-22 21:24:10] SUCCESS - Instructor ID: 2, Action: reject, Submission ID: 10, IP: ::1
[2025-12-22 21:24:16] SUCCESS - Instructor ID: 2, Action: restore, Submission ID: 12, IP: ::1
[2025-12-22 21:24:19] SUCCESS - Instructor ID: 2, Action: delete, Submission ID: 12, IP: ::1
[2025-12-23 01:11:54] SUCCESS - Instructor ID: 3, Action: accept, Submission ID: 95, IP: ::1
[2025-12-23 01:11:56] SUCCESS - Instructor ID: 3, Action: reject, Submission ID: 95, IP: ::1
[2025-12-23 01:12:01] SUCCESS - Instructor ID: 3, Action: add_feedback, Submission ID: 95, IP: ::1
[2025-12-23 01:12:04] SUCCESS - Instructor ID: 3, Action: download_report, Submission ID: 95, IP: ::1
[2025-12-23 01:12:07] SUCCESS - Instructor ID: 3, Action: view_report, Submission ID: 95, IP: ::1
